row-id,reference,council-tax-band,amount,geography,organisation,documentation-url_en,documentation-url_cy,council-tax-rate,start-date,end-date
1,1,council-tax-band:a,1158.67,W06000001,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:1,2022-04-06,2023-04-05
2,2,council-tax-band:b,1351.79,W06000001,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:2,2022-04-06,2023-04-05
3,3,council-tax-band:c,1544.90,W06000001,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:3,2022-04-06,2023-04-05
4,4,council-tax-band:d,1738.01,W06000001,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:4,2022-04-06,2023-04-05
5,5,council-tax-band:e,2124.23,W06000001,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:5,2022-04-06,2023-04-05
6,6,council-tax-band:f,2510.46,W06000001,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:6,2022-04-06,2023-04-05
7,7,council-tax-band:g,2896.68,W06000001,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:7,2022-04-06,2023-04-05
8,8,council-tax-band:h,3476.02,W06000001,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:8,2022-04-06,2023-04-05
9,9,council-tax-band:i,4055.36,W06000001,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:9,2022-04-06,2023-04-05
10,10,council-tax-band:a,1262.13,W06000002,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:10,2022-04-06,2023-04-05
11,11,council-tax-band:b,1472.49,W06000002,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:11,2022-04-06,2023-04-05
12,12,council-tax-band:c,1682.84,W06000002,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:12,2022-04-06,2023-04-05
13,13,council-tax-band:d,1893.20,W06000002,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:13,2022-04-06,2023-04-05
14,14,council-tax-band:e,2313.91,W06000002,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:14,2022-04-06,2023-04-05
15,15,council-tax-band:f,2734.62,W06000002,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:15,2022-04-06,2023-04-05
16,16,council-tax-band:g,3155.23,W06000002,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:16,2022-04-06,2023-04-05
17,17,council-tax-band:h,3786.40,W06000002,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:17,2022-04-06,2023-04-05
18,18,council-tax-band:i,4417.47,W06000002,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:18,2022-04-06,2023-04-05
19,19,council-tax-band:a,1202.09,W06000003,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:19,2022-04-06,2023-04-05
20,20,council-tax-band:b,1402.44,W06000003,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:20,2022-04-06,2023-04-05
21,21,council-tax-band:c,1602.79,W06000003,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:21,2022-04-06,2023-04-05
22,22,council-tax-band:d,1803.14,W06000003,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:22,2022-04-06,2023-04-05
23,23,council-tax-band:e,2203.84,W06000003,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:23,2022-04-06,2023-04-05
24,24,council-tax-band:f,2604.54,W06000003,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:24,2022-04-06,2023-04-05
25,25,council-tax-band:g,3005.54,W06000003,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:25,2022-04-06,2023-04-05
26,26,council-tax-band:h,3606.28,W06000003,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:26,2022-04-06,2023-04-05
27,27,council-tax-band:i,4207.33,W06000003,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:27,2022-04-06,2023-04-05
28,28,council-tax-band:a,1235.63,W06000004,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:28,2022-04-06,2023-04-05
29,29,council-tax-band:b,1441.57,W06000004,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:29,2022-04-06,2023-04-05
30,30,council-tax-band:c,1647.57,W06000004,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:30,2022-04-06,2023-04-05
31,31,council-tax-band:d,1853.45,W06000004,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:31,2022-04-06,2023-04-05
32,32,council-tax-band:e,2265.33,W06000004,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:32,2022-04-06,2023-04-05
33,33,council-tax-band:f,2677.21,W06000004,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:33,2022-04-06,2023-04-05
34,34,council-tax-band:g,3089.08,W06000004,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:34,2022-04-06,2023-04-05
35,35,council-tax-band:h,3706.90,W06000004,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:35,2022-04-06,2023-04-05
36,36,council-tax-band:i,4324.72,W06000004,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:36,2022-04-06,2023-04-05
37,37,council-tax-band:a,1210.27,W06000005,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:37,2022-04-06,2023-04-05
38,38,council-tax-band:b,1411.98,W06000005,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:38,2022-04-06,2023-04-05
39,49,council-tax-band:c,1613.69,W06000005,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:39,2022-04-06,2023-04-05
40,40,council-tax-band:d,1815.40,W06000005,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:40,2022-04-06,2023-04-05
41,41,council-tax-band:e,2218.82,W06000005,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:41,2022-04-06,2023-04-05
42,42,council-tax-band:f,2622.24,W06000005,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:42,2022-04-06,2023-04-05
43,43,council-tax-band:g,3025.67,W06000005,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:43,2022-04-06,2023-04-05
44,44,council-tax-band:h,3630.80,W06000005,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:44,2022-04-06,2023-04-05
45,45,council-tax-band:i,4235.93,W06000005,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:45,2022-04-06,2023-04-05
46,46,council-tax-band:a,1160.88,W06000006,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:46,2022-04-06,2023-04-05
47,47,council-tax-band:b,1354.36,W06000006,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:47,2022-04-06,2023-04-05
48,48,council-tax-band:c,1547.84,W06000006,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:48,2022-04-06,2023-04-05
49,49,council-tax-band:d,1741.32,W06000006,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:49,2022-04-06,2023-04-05
50,50,council-tax-band:e,2128.28,W06000006,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:50,2022-04-06,2023-04-05
51,51,council-tax-band:f,2515.24,W06000006,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:51,2022-04-06,2023-04-05
52,52,council-tax-band:g,2902.20,W06000006,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:52,2022-04-06,2023-04-05
53,53,council-tax-band:h,3482.64,W06000006,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:53,2022-04-06,2023-04-05
54,54,council-tax-band:i,4063.08,W06000006,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:54,2022-04-06,2023-04-05
55,55,council-tax-band:a,1209.05,W06000023,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:55,2022-04-06,2023-04-05
56,56,council-tax-band:b,1410.55,W06000023,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:56,2022-04-06,2023-04-05
57,57,council-tax-band:c,1612.06,W06000023,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:57,2022-04-06,2023-04-05
58,58,council-tax-band:d,1813.57,W06000023,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:58,2022-04-06,2023-04-05
59,59,council-tax-band:e,2216.59,W06000023,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:69,2022-04-06,2023-04-05
60,60,council-tax-band:f,2619.60,W06000023,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:60,2022-04-06,2023-04-05
61,61,council-tax-band:g,3022.62,W06000023,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:61,2022-04-06,2023-04-05
62,62,council-tax-band:h,3627.14,W06000023,,https://gov.wales/council-tax-levels-april-2022-march-2023,https://llyw.cymru/lefelaur-dreth-gyngor-ebrill-2022-i-fawrth-2023,council-tax-rate:62,2022-04-06,2023-04-05
