row-id,reference,land-transaction-tax-threshold,land-transaction-tax-rate,description_en,description_cy,rate,geography,organisation,start-date,end-date
1,1,land-transaction-tax-threshold:1,land-transaction-tax-rate:1,,,0,W92000004,,2018-04-01,
2,2,land-transaction-tax-threshold:2,land-transaction-tax-rate:2,,,3.5,W92000004,,2018-04-01,
3,3,land-transaction-tax-threshold:3,land-transaction-tax-rate:3,,,5,W92000004,,2018-04-01,
4,4,land-transaction-tax-threshold:4,land-transaction-tax-rate:4,,,7.5,W92000004,,2018-04-01,
5,5,land-transaction-tax-threshold:5,land-transaction-tax-rate:5,,,10,W92000004,,2018-04-01,
6,6,land-transaction-tax-threshold:6,land-transaction-tax-rate:6,,,12,W92000004,,2018-04-01,2020-07-26
7,7,land-transaction-tax-threshold:7,land-transaction-tax-rate:7,,,0,W92000004,,2020-07-27,2021-06-30
8,8,land-transaction-tax-threshold:8,land-transaction-tax-rate:8,,,3,W92000004,,2018-04-01,2020-12-21
9,8,land-transaction-tax-threshold:8,land-transaction-tax-rate:8,,,4,W92000004,,2020-12-22,
10,9,land-transaction-tax-threshold:9,land-transaction-tax-rate:9,,,6.5,W92000004,,2018-04-01,2020-12-21
11,9,land-transaction-tax-threshold:9,land-transaction-tax-rate:9,,,7.5,W92000004,,2020-12-22,
12,10,land-transaction-tax-threshold:10,land-transaction-tax-rate:10,,,8,W92000004,,2018-04-01,2020-12-21
13,10,land-transaction-tax-threshold:10,land-transaction-tax-rate:10,,,9,W92000004,,2020-12-22,
14,11,land-transaction-tax-threshold:11,land-transaction-tax-rate:11,,,10.5,W92000004,,2018-04-01,2020-12-21
15,11,land-transaction-tax-threshold:11,land-transaction-tax-rate:11,,,11.5,W92000004,,2020-12-22,
16,12,land-transaction-tax-threshold:12,land-transaction-tax-rate:12,,,13,W92000004,,2018-04-01,2020-12-21
17,12,land-transaction-tax-threshold:12,land-transaction-tax-rate:12,,,14,W92000004,,2020-12-22,
18,13,land-transaction-tax-threshold:13,land-transaction-tax-rate:13,,,15,W92000004,,2018-04-01,2020-12-21
19,13,land-transaction-tax-threshold:13,land-transaction-tax-rate:13,,,16,W92000004,,2020-12-22,
20,14,land-transaction-tax-threshold:14,land-transaction-tax-rate:14,,,0,W92000004,,2018-04-01,2020-12-21
21,15,land-transaction-tax-threshold:15,land-transaction-tax-rate:15,,,1,W92000004,,2018-04-01,2020-12-21
22,16,land-transaction-tax-threshold:16,land-transaction-tax-rate:16,,,5,W92000004,,2020-12-22,
23,17,land-transaction-tax-threshold:17,land-transaction-tax-rate:17,,,6,W92000004,,2020-12-22,
24,18,land-transaction-tax-threshold:18,land-transaction-tax-rate:18,,,0,W92000004,,2020-12-22,
25,19,land-transaction-tax-threshold:19,land-transaction-tax-rate:19,,,1,W92000004,,2020-12-22,
26,20,land-transaction-tax-threshold:20,land-transaction-tax-rate:20,,,0,W92000004,,2018-04-01,2020-12-21
27,21,land-transaction-tax-threshold:21,land-transaction-tax-rate:21,,,1,W92000004,,2018-04-01,2020-12-21
28,22,land-transaction-tax-threshold:22,land-transaction-tax-rate:22,,,2,W92000004,,2020-12-22,
29,23,land-transaction-tax-threshold:23,land-transaction-tax-rate:23,,,0,W92000004,,2020-12-22,
30,24,land-transaction-tax-threshold:24,land-transaction-tax-rate:24,,,1,W92000004,,2020-12-22,
