dataset,field,datatype,description
land-transaction-tax-category,reference,string,"A unique reference for each category of land transaction tax category"
land-transaction-tax-category,name_en,string,"The English name for each category of land transaction tax"
land-transaction-tax-category,name_cy,string,"The Welsh name for each category of land transaction tax"
land-transaction-tax-category,description_en,string,"A English description of each category of land transaction tax category"
land-transaction-tax-category,descriptioncy,string,"A Welsh description of each category of land transaction tax category"
land-transaction-tax-category,documentation-url_en,url,"The authorative definition of each land tranaction tax category (English)"
land-transaction-tax-category,documentation-url_cy,url,"The authorative definition of each land tranaction tax category (Welsh)"
land-transaction-tax-category,land-transaction-tax-category,curie,"A unique identifier that links each land transaction tax category to other data"
land-transaction-tax-category,start-date,datetime,"The date from which the land transaction tax category came into effect"
land-transaction-tax-category,end-date,datetime,"The date from which the land transaction tax category was no longer in effect"
land-transaction-tax-threshold,reference,string,"A unique reference for each category of land transaction tax threshold"
land-transaction-tax-threshold,land-transaction-tax-threshold,curie,"A unique identifier that links each land transaction tax threshold to other data"
land-transaction-tax-threshold,description_en,string,"A English description of each category of land transaction tax threshold"
land-transaction-tax-threshold,description_cy,string,"A Welsh description of each category of land transaction tax threshold"
land-transaction-tax-threshold,lower-threshold,decimal,"The lower property sale value for the land transaction tax threshold"
land-transaction-tax-threshold,upper-threshold,decimal,"The upper property sale value for the land transaction tax threshold"
land-transaction-tax-threshold,land-tranaction-tax-category,curie,"A unique identifier that links to a land transaction tax category"
land-transaction-tax-threshold,organisation,string,"The identifier of the organisation responsible for defining the land transaction tax threshold"
land-transaction-tax-threshold,start-date,datetime,"The date from which the land transaction tax threshold came into effect"
land-transaction-tax-threshold,end-date,datetime,"The date from which the land transaction tax threshold was no longer in effect"
land-transaction-tax-rate,reference,string,"A unique reference for each rate of land transaction tax"
land-transaction-tax-rate,land-transaction-tax-rate,curie,"A unique identifier for each land transaction tax rate"
land-transaction-tax-rate,land-transaction-tax-threshold,curie,"A unique identifier that links to a land transaction tax threshold"
land-transaction-tax-rate,rate,decimal,"The percentage of tax owed for the land transaction tax threshold"
land-transaction-tax-rate,documentation-url_en,url,"The authorative definition of each land tranaction tax rate (English)"
land-transaction-tax-rate,documentation-url_cy,url,"The authorative definition of each land tranaction tax rate (Welsh)"
land-transaction-tax-rate,geography,string,"The geographic area for which the land transaction tax rate applies"
land-transaction-tax-rate,organisation,string,"The identifier of the organisation responsible for defining the land transaction tax rate"
land-transaction-tax-rate,start-date,datetime,"The date from which the land transaction tax rate applies"
land-transaction-tax-rate,end-date,datetime,"The date from which the land transaction tax no longer applies"
council-tax-band,reference,string,"A unique reference for each council tax band"
council-tax-band,name_en,string,"The English name for the council tax band"
council-tax-band,name_cy,string,"The Welsh name for the council tax band"
council-tax-band,description_en,string,"An English description for the council tax band"
council-tax-band,description_cy,string,"A Welsh description for the council tax band"
council-tax-band,lower-threshold,decimal,"The lower threshold of property valuation for the council tax band"
council-tax-band,upper-threshold,decimal,"The upper threshold of property valuation for the council tax band"
council-tax-band,documentation-url_en,url,"The authorative definition of the council tax band (English)"
council-tax-band,documentation-url_cy,url,"The authorative definition of the council tax band (Welsh)"
council-tax-band,council-tax-band,curie,"A unique identifier for the council tax band"
council-tax-band,organisation,string,"The identifier of the organisation responsible for defining the council tax band"
council-tax-band,start-date,datetime,"The date at which the council tax band came into effect"
council-tax-band,end-date,datetime,"The date at which the council tax band was no longer in effect"
council-tax-rate,reference,string,
counci
